prompt_index,prompt,model_name,difficulty,category,tech_stack,module_tags
1,"src/services/instrumentService.ts的checkConflict函数存在Bug：当前时间冲突检测的SQL条件为start_time < end AND end_time > start，但未排除status=""已拒绝""的预约。此外，当同一仪器的两个预约时间完全相同时（start_time相等），冲突检测会漏掉。请修复：排除已拒绝预约，使用start_time < :end_time AND end_time > :start_time的严格区间重叠判断",gpt-5.4,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
1,"src/services/instrumentService.ts的checkConflict函数存在Bug：当前时间冲突检测的SQL条件为start_time < end AND end_time > start，但未排除status=""已拒绝""的预约。此外，当同一仪器的两个预约时间完全相同时（start_time相等），冲突检测会漏掉。请修复：排除已拒绝预约，使用start_time < :end_time AND end_time > :start_time的严格区间重叠判断",gemini-3.1-p,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
1,"src/services/instrumentService.ts的checkConflict函数存在Bug：当前时间冲突检测的SQL条件为start_time < end AND end_time > start，但未排除status=""已拒绝""的预约。此外，当同一仪器的两个预约时间完全相同时（start_time相等），冲突检测会漏掉。请修复：排除已拒绝预约，使用start_time < :end_time AND end_time > :start_time的严格区间重叠判断",DeepSeek-V4-Pro,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
1,"src/services/instrumentService.ts的checkConflict函数存在Bug：当前时间冲突检测的SQL条件为start_time < end AND end_time > start，但未排除status=""已拒绝""的预约。此外，当同一仪器的两个预约时间完全相同时（start_time相等），冲突检测会漏掉。请修复：排除已拒绝预约，使用start_time < :end_time AND end_time > :start_time的严格区间重叠判断",Doubao-Seed-2.0-Code,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
1,"src/services/instrumentService.ts的checkConflict函数存在Bug：当前时间冲突检测的SQL条件为start_time < end AND end_time > start，但未排除status=""已拒绝""的预约。此外，当同一仪器的两个预约时间完全相同时（start_time相等），冲突检测会漏掉。请修复：排除已拒绝预约，使用start_time < :end_time AND end_time > :start_time的严格区间重叠判断",GLM-5.1,困难,代码生成,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
2,src/services/reagentService.ts的addLog函数在采购入库时直接stock+quantity，但未校验quantity的正负：领用出库时传入负数quantity，如果quantity绝对值大于stock会导致库存为负数。请修复：入库时quantity必须>0，出库时校验stock>=|quantity|，否则抛出错误。同时将低库存预警逻辑从addLog中提取为独立的checkLowStock方法,gpt-5.4,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
2,src/services/reagentService.ts的addLog函数在采购入库时直接stock+quantity，但未校验quantity的正负：领用出库时传入负数quantity，如果quantity绝对值大于stock会导致库存为负数。请修复：入库时quantity必须>0，出库时校验stock>=|quantity|，否则抛出错误。同时将低库存预警逻辑从addLog中提取为独立的checkLowStock方法,gemini-3.1-p,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
2,src/services/reagentService.ts的addLog函数在采购入库时直接stock+quantity，但未校验quantity的正负：领用出库时传入负数quantity，如果quantity绝对值大于stock会导致库存为负数。请修复：入库时quantity必须>0，出库时校验stock>=|quantity|，否则抛出错误。同时将低库存预警逻辑从addLog中提取为独立的checkLowStock方法,DeepSeek-V4-Pro,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
2,src/services/reagentService.ts的addLog函数在采购入库时直接stock+quantity，但未校验quantity的正负：领用出库时传入负数quantity，如果quantity绝对值大于stock会导致库存为负数。请修复：入库时quantity必须>0，出库时校验stock>=|quantity|，否则抛出错误。同时将低库存预警逻辑从addLog中提取为独立的checkLowStock方法,Doubao-Seed-2.0-Code,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
2,src/services/reagentService.ts的addLog函数在采购入库时直接stock+quantity，但未校验quantity的正负：领用出库时传入负数quantity，如果quantity绝对值大于stock会导致库存为负数。请修复：入库时quantity必须>0，出库时校验stock>=|quantity|，否则抛出错误。同时将低库存预警逻辑从addLog中提取为独立的checkLowStock方法,Qwen3.6-Plus,困难,Bug 修复 / 调试,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
3,"重构src/services/hazardService.ts，当前危化品的出入库日志与普通试剂完全独立，但业务上危化品领用需要双人复核。请实现：hazard_logs表新增confirm_user_id字段，addLog时如果是领用操作（action=""领用""），必须传入confirm_user_id且不能与user_id相同。需要修改hazard model的HazardLog接口，修改hazards/detail.ejs添加复核人选择下拉框",gpt-5.4,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
3,"重构src/services/hazardService.ts，当前危化品的出入库日志与普通试剂完全独立，但业务上危化品领用需要双人复核。请实现：hazard_logs表新增confirm_user_id字段，addLog时如果是领用操作（action=""领用""），必须传入confirm_user_id且不能与user_id相同。需要修改hazard model的HazardLog接口，修改hazards/detail.ejs添加复核人选择下拉框",gemini-3.1-p,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
3,"重构src/services/hazardService.ts，当前危化品的出入库日志与普通试剂完全独立，但业务上危化品领用需要双人复核。请实现：hazard_logs表新增confirm_user_id字段，addLog时如果是领用操作（action=""领用""），必须传入confirm_user_id且不能与user_id相同。需要修改hazard model的HazardLog接口，修改hazards/detail.ejs添加复核人选择下拉框",DeepSeek-V4-Pro,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
3,"重构src/services/hazardService.ts，当前危化品的出入库日志与普通试剂完全独立，但业务上危化品领用需要双人复核。请实现：hazard_logs表新增confirm_user_id字段，addLog时如果是领用操作（action=""领用""），必须传入confirm_user_id且不能与user_id相同。需要修改hazard model的HazardLog接口，修改hazards/detail.ejs添加复核人选择下拉框",Doubao-Seed-2.0-Code,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
3,"重构src/services/hazardService.ts，当前危化品的出入库日志与普通试剂完全独立，但业务上危化品领用需要双人复核。请实现：hazard_logs表新增confirm_user_id字段，addLog时如果是领用操作（action=""领用""），必须传入confirm_user_id且不能与user_id相同。需要修改hazard model的HazardLog接口，修改hazards/detail.ejs添加复核人选择下拉框",GLM-5.1,困难,代码重构,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
4,"在实验记录模块中新增实验关联试剂功能：新建experiment_reagents关联表（experiment_id, reagent_id, quantity_used, created_at），在experiments/create.ejs和experiments/detail.ejs中添加试剂选择区域，支持从库存试剂中多选并填写用量。创建实验时自动扣减对应试剂库存（使用事务保证原子性），实验删除时归还库存",gpt-5.4,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
4,"在实验记录模块中新增实验关联试剂功能：新建experiment_reagents关联表（experiment_id, reagent_id, quantity_used, created_at），在experiments/create.ejs和experiments/detail.ejs中添加试剂选择区域，支持从库存试剂中多选并填写用量。创建实验时自动扣减对应试剂库存（使用事务保证原子性），实验删除时归还库存",gemini-3.1-p,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
4,"在实验记录模块中新增实验关联试剂功能：新建experiment_reagents关联表（experiment_id, reagent_id, quantity_used, created_at），在experiments/create.ejs和experiments/detail.ejs中添加试剂选择区域，支持从库存试剂中多选并填写用量。创建实验时自动扣减对应试剂库存（使用事务保证原子性），实验删除时归还库存",DeepSeek-V4-Pro,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
4,"在实验记录模块中新增实验关联试剂功能：新建experiment_reagents关联表（experiment_id, reagent_id, quantity_used, created_at），在experiments/create.ejs和experiments/detail.ejs中添加试剂选择区域，支持从库存试剂中多选并填写用量。创建实验时自动扣减对应试剂库存（使用事务保证原子性），实验删除时归还库存",Doubao-Seed-2.0-Code,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
4,"在实验记录模块中新增实验关联试剂功能：新建experiment_reagents关联表（experiment_id, reagent_id, quantity_used, created_at），在experiments/create.ejs和experiments/detail.ejs中添加试剂选择区域，支持从库存试剂中多选并填写用量。创建实验时自动扣减对应试剂库存（使用事务保证原子性），实验删除时归还库存",Qwen3.6-Plus,困难,功能迭代,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
5,为src/services/instrumentService.ts编写单元测试：覆盖checkConflict的所有边界情况——时间完全重叠、部分重叠、相邻不重叠（end_time等于start_time）、包含关系、已拒绝的预约不冲突。使用内存SQLite，预设仪器和若干预约记录，验证每种场景的冲突检测结果,gpt-5.4,困难,测试,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
5,为src/services/instrumentService.ts编写单元测试：覆盖checkConflict的所有边界情况——时间完全重叠、部分重叠、相邻不重叠（end_time等于start_time）、包含关系、已拒绝的预约不冲突。使用内存SQLite，预设仪器和若干预约记录，验证每种场景的冲突检测结果,gemini-3.1-p,困难,测试,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
5,为src/services/instrumentService.ts编写单元测试：覆盖checkConflict的所有边界情况——时间完全重叠、部分重叠、相邻不重叠（end_time等于start_time）、包含关系、已拒绝的预约不冲突。使用内存SQLite，预设仪器和若干预约记录，验证每种场景的冲突检测结果,DeepSeek-V4-Pro,困难,测试,"TypeScript,Express.js,EJS,SQLite","试剂管理,危化品,仪器预约,实验记录,库存预警"
